İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Price,Listing URL,Ağır Hasarlı
Kopyalandı26591931,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,69.000 km,Düz,Dizel,Hatchback/5,Kahverengi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,667.750 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/alican-otomotiv-den-2017-model-yeni-kasa-stepway-dusuk-km/26591931,
Kopyalandı26579004,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,88.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"2 değişen, 2 boyalı",Takasa Uygun,Sahibinden,710.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26579004,
Kopyalandı26576009,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,104.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,,Sahibinden,735.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26576009,
Kopyalandı26575765,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,240.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,7 boyalı,,Sahibinden,479.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/26575765,
Kopyalandı25989560,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,150.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,,Sahibinden,660.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/25989560,
Kopyalandı24961238,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,66.400 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"2 değişen, 3 boyalı",Takasa Uygun,Galeriden,624.950 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/66-bin-km-de-1-5-dci-stepway/24961238,
Kopyalandı26005519,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,65.000 km,Yarı Otomatik,Dizel,Hatchback/5,Lacivert,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Tamamı orjinal,,Sahibinden,741.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26005519,
Kopyalandı26589020,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,170.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,3 boyalı,Takasa Uygun,Galeriden,629.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2015-170bin-km-degisensiz-dizel-stepway/26589020,
Kopyalandı26588608,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,120.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,625.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/kurtoglu-otomotiv-den-satilik-dacia-sandero-stepway-1-5-dci-90hp/26588608,
Kopyalandı26588392,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,176.527 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"2 değişen, 1 boyalı",Takasa Uygun,Galeriden,638.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/melcar-dan-2016-dacia-sandero-1-5-dci-stepway-karta-12-taksit/26588392,
Kopyalandı26453793,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,66.400 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"2 değişen, 3 boyalı",Takasa Uygun,Galeriden,624.950 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/66-binde-1-5dci-stepway-95-hp-krediye-uygun-servis-bakimli/26453793,
Kopyalandı26452648,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,62.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,695.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/zerde-garage-dacia-sandero-stepway-1-5-dizel-62-000-km-boyasiz/26452648,
Kopyalandı26450087,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,137.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,679.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeri-52-den-2016-model-dacia-stepway-hatasiz-boyasiz-1-5-dci/26450087,
Kopyalandı26558380,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,144.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kahverengi,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,748.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-otomatik-vites-dacia-stepway-hatasiz-36-ay-banka-kredi-imkani/26558380,
Kopyalandı26583750,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,164.000 km,Düz,Dizel,Hatchback/5,Gri,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun,Galeriden,575.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2013-stepway-degisensiz-2-5-parca-boyali/26583750,
Kopyalandı26029646,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,164.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,645.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/dacia-sandero-1-5-dci-stepway-hatasiz-boyasiz-ful-bakimli2017-model-hatay/26029646,
Kopyalandı23758859,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,101.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,657.500 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/tertemiz-stepway/23758859,
Kopyalandı26570838,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,106.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 boyalı,,Sahibinden,675.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26570838,
Kopyalandı26569181,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,311.548 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,500.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26569181,
Kopyalandı26449039,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,52.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,775.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2017-model-mersin/26449039,
Kopyalandı23333765,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,80.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,765.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2017-model-konya/23333765,
Kopyalandı23505181,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,30.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,760.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/agirlar-anil-otomotiv-den-2016-dacia-sandero-stepway/23505181,
Kopyalandı26566167,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,325.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,480.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26566167,
Kopyalandı26570991,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,63.000 km,Düz,Dizel,Hatchback/5,Lacivert,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,-,Sahibinden,700.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-boyasiz-1-5-dci-stepway-2017-model-mersin/26570991,
Kopyalandı26434937,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,132.500 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 boyalı,Takasa Uygun,Galeriden,655.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/sandero-stepway-degisen-yok-ilk-elden/26434937,
Kopyalandı26434668,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,115.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,649.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/hatasiz-boyasiz-2015-dacia-stepway-1-5-dci-115-bin-km-ekstrali/26434668,
Kopyalandı25901406,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,204.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,2 değişen,Takasa Uygun,Galeriden,585.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/aynacilar-otomotiv-dendacia-sandero-1-5-dci-stepway-2015-model/25901406,
Kopyalandı26524623,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,263.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,445.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2014-model-afyonkarahisar/26524623,
Kopyalandı26564480,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,107.650 km,Düz,Dizel,Hatchback/5,Gri,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,4 boyalı,,Sahibinden,620.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26564480,
Kopyalandı26561741,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2011,125.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,Tamamı orjinal,,Sahibinden,560.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2011-model/26561741,
Kopyalandı26560742,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,130.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,1 değişen,,Sahibinden,565.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26560742,
Kopyalandı26559097,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,298.250 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 3 boyalı",Takasa Uygun,Sahibinden,445.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26559097,
Kopyalandı26557181,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,180.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,711.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2018-model/26557181,
Kopyalandı26555572,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,146.500 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,2 boyalı,Takasa Uygun,Sahibinden,620.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26555572,
