İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Fiyat,URL,Ağır Hasarlı
26631903,04 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2013,170.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,2 boyalı,,Sahibinden,635.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/26631903,
26630661,04 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,86.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Belirtilmemiş,,Sahibinden,585.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/ilk-sahibinden-dost-ta-gidecek-86-bin-de-sandero/26630661,
26633093,04 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,230.000 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,379.950 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2012-model-kocaeli/26633093,
26626299,04 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2013,111.500 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"1 değişen, 2 boyalı",,Sahibinden,580.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/26626299,
26360056,04 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2015,125.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,2 boyalı,Takasa Uygun,Galeriden,629.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/hatasiz-boyasiz-2015-stepway-1-5dci-125binde/26360056,
26495897,04 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2018,180.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,680.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2018-model-adana/26495897,
26366780,04 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2015,64.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,650.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2015-model-izmir/26366780,
26558380,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2017,144.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kahverengi,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,748.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-otomatik-vites-dacia-stepway-hatasiz-36-ay-banka-kredi-imkani/26558380,
26627290,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2014,56.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,662.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/hatasiz-boyasiz-56km-stepway/26627290,
26623210,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2014,66.500 km,Düz,Dizel,Hatchback/5,Gri (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,640.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26623210,
26622213,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2013,140.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,530.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/26622213,
26617421,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2014,278.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,435.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26617421,
26613065,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,193.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,510.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-acil-ev-aldigim-icin-satilik-hatasiz-temiz-dacia-sandero-stepway/26613065,
26612957,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,86.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 değişen,,Sahibinden,655.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26612957,
26612477,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,90.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 boyalı,,Sahibinden,650.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model2017-cikisli-yeni-kasa/26612477,
25424523,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2013,165.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,570.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/25424523,
26484441,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2018,65.600 km,Otomatik,Dizel,Hatchback/5,Gri,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,"2 değişen, 1 boyalı",Takasa Uygun,Galeriden,660.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/mm-motors-2018-dacia-sandero-1-5-dci-stepway-otomatik/26484441,
26268877,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,89.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,700.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/yagmur-otomotiv-dacia-sandero-1-5-dci-hatasiz-kusirsuz-boyasiz/26268877,
26484343,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2019,94.750 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,785.075 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2019-model-burdur/26484343,
26479320,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2017,110.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,719.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-dacia-sandero-1-5-dci-stepway-110-kmde-hatasiz-muayene-yeni/26479320,
26619606,03 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2015,119.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,655.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/boyasiz-hatasiz-119-bin-kmde-2015-stepway/26619606,
26608998,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,121.500 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,4 boyalı,Takasa Uygun Değil,Sahibinden,625.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-memurdan-2016-dacia-sandero-1-5-dci-stepway-dusuk-km/26608998,
26608876,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,215.000 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"1 değişen, 4 boyalı",,Sahibinden,450.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26608876,
26608257,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,117.000 km,Düz,Dizel,Hatchback/5,Gri (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,580.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26608257,
26607302,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2014,370.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 3 boyalı",,Sahibinden,520.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26607302,
26597268,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,211.000 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"3 değişen, 2 boyalı",,Sahibinden,500.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26597268,
26605347,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,220.000 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,515.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26605347,
26612893,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2015,112.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,655.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2015-model-samsun/26612893,
26602907,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2014,112.149 km,Düz,Benzin,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,483.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26602907,
26612497,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,140.360 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 4 boyalı",Takasa Uygun Değil,Galeriden,575.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/dacia-sandero-1-5-dci-stepway-2016-model-izmir/26612497,
26601125,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,127.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,,Sahibinden,650.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26601125,
26612024,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2017,105.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,728.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2017-model-adana/26612024,
26599768,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2013,205.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"2 değişen, 11 boyalı",,Sahibinden,297.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model-acil-satilik/26599768,
26597630,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,88.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,1 boyalı,,Sahibinden,610.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26597630,
25927820,02 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,125.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,5 boyalı,Takasa Uygun Değil,Galeriden,585.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/fastcar-dan-2016-dacia-sandero-stepway-1-5dci-125-000km-masrafsiz/25927820,
26594636,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2013,227.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"2 değişen, 4 boyalı",,Sahibinden,488.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/26594636,
26602874,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2017,164.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,685.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/avva-otomotiv-den-2017-md-dacia-sandero-1-5-dci-stepway-bakimli/26602874,
26594126,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,115.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,620.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26594126,
26601638,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2016,125.890 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı boyalı,Takasa Uygun Değil,Galeriden,380.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2016-sandero-stepway-100-000-pesin-36-taksit/26601638,
26591692,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2017,63.000 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,,Sahibinden,800.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/memurdan-satilik-dacia-sandero-1-5-dci-stepway-2017-model/26591692,
26599491,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2014,110.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,655.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2014-model-bursa/26599491,
26461490,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2012,185.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,3 boyalı,Takasa Uygun Değil,Galeriden,439.750 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2012-model-dacia-sandero-1-5dci-stepway-bu-km-de-bu-temizlik-yok/26461490,
26463536,01 Ekim 2024,Dacia,Sandero,1.5 dCi Stepway,2018,119.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,"1 değişen, 4 boyalı",Takasa Uygun,Galeriden,465.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2018-citir-hasarli-dacia-sandero-otomatik-kaput-tavan-bagaj-orjinal/26463536,Evet
26584320,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,205.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"1 değişen, 1 boyalı",,Sahibinden,520.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/26584320,
26591931,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,69.000 km,Düz,Dizel,Hatchback/5,Kahverengi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,667.750 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/alican-otomotiv-den-2017-model-yeni-kasa-stepway-dusuk-km/26591931,
26579004,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,88.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"2 değişen, 2 boyalı",Takasa Uygun,Sahibinden,710.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26579004,
26575765,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,240.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,7 boyalı,,Sahibinden,468.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model/26575765,
25989560,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,150.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,,Sahibinden,660.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/25989560,
24961238,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,66.400 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"2 değişen, 3 boyalı",Takasa Uygun,Galeriden,624.950 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/66-bin-km-de-1-5-dci-stepway/24961238,
26005519,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,65.000 km,Yarı Otomatik,Dizel,Hatchback/5,Lacivert,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Tamamı orjinal,,Sahibinden,741.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26005519,
26589020,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,170.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,3 boyalı,Takasa Uygun,Galeriden,629.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2015-170bin-km-degisensiz-dizel-stepway/26589020,
26588608,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,120.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,625.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/kurtoglu-otomotiv-den-satilik-dacia-sandero-stepway-1-5-dci-90hp/26588608,
26588392,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,176.527 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"2 değişen, 1 boyalı",Takasa Uygun,Galeriden,638.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/melcar-dan-2016-dacia-sandero-1-5-dci-stepway-karta-12-taksit/26588392,
